member_id,email,username,loyalty_tier
M2182,kristeng897@rewardsportal.org,kristeng897,Bronze
M3129,nicholas808@rewardsportal.org,nicholas808,Gold
M2479,jamielov766@rewardsportal.org,jamielov766,Bronze
M2918,alfredle143@rewardsportal.org,alfredle143,Gold
M2253,ryanjohn162@rewardsportal.org,ryanjohn162,Gold
M2462,donnajoh428@rewardsportal.org,donnajoh428,Silver
M2523,jessicab569@rewardsportal.org,jessicab569,Gold
M2849,brentbur363@rewardsportal.org,brentbur363,Silver
M2228,karenhow862@rewardsportal.org,karenhow862,Bronze
M2545,caitlinm425@rewardsportal.org,caitlinm425,Silver
M2528,krystale214@rewardsportal.org,krystale214,Bronze
M2372,brianlee25@rewardsportal.org,brianlee25,Gold
M2602,kellyste537@rewardsportal.org,kellyste537,Silver
M2112,melaniel891@rewardsportal.org,melaniel891,Gold
M2894,nicolefr470@rewardsportal.org,nicolefr470,Bronze
M2772,michelec749@rewardsportal.org,michelec749,Silver
M2844,michaels349@rewardsportal.org,michaels349,Bronze
M2354,stacyhar148@rewardsportal.org,stacyhar148,Silver
M2309,dariusco788@rewardsportal.org,dariusco788,Silver
M2766,dustinjo432@rewardsportal.org,dustinjo432,Gold
M2588,taylorme519@rewardsportal.org,taylorme519,Silver
M2723,amybryan562@rewardsportal.org,amybryan562,Gold
M2370,kimberly143@rewardsportal.org,kimberly143,Bronze
M2829,jamesshe383@rewardsportal.org,jamesshe383,Platinum
M3005,terrywar432@rewardsportal.org,terrywar432,Gold
M2061,alexisba890@rewardsportal.org,alexisba890,Bronze
M2796,ericrile773@rewardsportal.org,ericrile773,Bronze
M2536,melindan386@rewardsportal.org,melindan386,Bronze
M2793,charlesm864@rewardsportal.org,charlesm864,Silver
M2472,drjessic979@rewardsportal.org,drjessic979,Platinum
M3106,ashleymi389@rewardsportal.org,ashleymi389,Bronze
M2539,margaret115@rewardsportal.org,margaret115,Bronze
M2033,raymondj531@rewardsportal.org,raymondj531,Bronze
M2145,ronaldpo533@rewardsportal.org,ronaldpo533,Gold
M3017,curtismo882@rewardsportal.org,curtismo882,Bronze
M2339,mariahmc976@rewardsportal.org,mariahmc976,Platinum
M2286,annnguye894@rewardsportal.org,annnguye894,Bronze
M2099,dylanhug116@rewardsportal.org,dylanhug116,Bronze
M2547,timothym879@rewardsportal.org,timothym879,Silver
M2930,stevenpa89@rewardsportal.org,stevenpa89,Silver
M2641,johnmorr702@rewardsportal.org,johnmorr702,Silver
M2660,aarongal426@rewardsportal.org,aarongal426,Platinum
M3042,kennethw740@rewardsportal.org,kennethw740,Silver
M2994,scottmal587@rewardsportal.org,scottmal587,Silver
M2241,jasonrod399@rewardsportal.org,jasonrod399,Platinum
M2010,georgech230@rewardsportal.org,georgech230,Bronze
M3077,paulwagn89@rewardsportal.org,paulwagn89,Bronze
M2612,kaylawat405@rewardsportal.org,kaylawat405,Silver
M2124,jennifer238@rewardsportal.org,jennifer238,Silver
M2052,cynthiad979@rewardsportal.org,cynthiad979,Bronze
M2791,carrieha850@rewardsportal.org,carrieha850,Gold
M3043,juliejoh506@rewardsportal.org,juliejoh506,Platinum
M2154,brianpor714@rewardsportal.org,brianpor714,Gold
M3149,robinpar731@rewardsportal.org,robinpar731,Bronze
M2749,marydona339@rewardsportal.org,marydona339,Bronze
M2315,michaelw901@rewardsportal.org,michaelw901,Silver
M2446,juliacon894@rewardsportal.org,juliacon894,Bronze
M3178,amandasa753@rewardsportal.org,amandasa753,Bronze
M2294,cheyenne595@rewardsportal.org,cheyenne595,Bronze
M2419,charleso363@rewardsportal.org,charleso363,Bronze
M2478,pamelaro113@rewardsportal.org,pamelaro113,Gold
M2224,manuelmc207@rewardsportal.org,manuelmc207,Bronze
M2581,kellypal105@rewardsportal.org,kellypal105,Silver
M2701,samuelsi587@rewardsportal.org,samuelsi587,Silver
M2474,michaelc380@rewardsportal.org,michaelc380,Bronze
M3047,kathryna552@rewardsportal.org,kathryna552,Gold
M2913,mrscottm899@rewardsportal.org,mrscottm899,Bronze
M3189,brandonc607@rewardsportal.org,brandonc607,Platinum
M2452,thomaswh639@rewardsportal.org,thomaswh639,Silver
M3150,carolynb485@rewardsportal.org,carolynb485,Bronze
M2276,nicoledu218@rewardsportal.org,nicoledu218,Silver
M3070,adamgall691@rewardsportal.org,adamgall691,Gold
M3000,carlosmy11@rewardsportal.org,carlosmy11,Bronze
M2959,victorya981@rewardsportal.org,victorya981,Silver
M2866,desirees201@rewardsportal.org,desirees201,Bronze
M3065,ralphedw610@rewardsportal.org,ralphedw610,Bronze
M2818,michaelm505@rewardsportal.org,michaelm505,Bronze
M2127,mariariv705@rewardsportal.org,mariariv705,Bronze
M2934,michaelc402@rewardsportal.org,michaelc402,Silver
M3156,angelamu176@rewardsportal.org,angelamu176,Gold
M2238,kaitlynb586@rewardsportal.org,kaitlynb586,Bronze
M2877,michelle720@rewardsportal.org,michelle720,Platinum
M2901,scottaye621@rewardsportal.org,scottaye621,Bronze
M3148,laurafow43@rewardsportal.org,laurafow43,Bronze
M2184,tammiepr355@rewardsportal.org,tammiepr355,Bronze
M2692,williamb233@rewardsportal.org,williamb233,Silver
M2249,markcole729@rewardsportal.org,markcole729,Bronze
M2394,kevinmac452@rewardsportal.org,kevinmac452,Silver
M2677,richardn635@rewardsportal.org,richardn635,Gold
M2620,paulhess153@rewardsportal.org,paulhess153,Platinum
M2752,robertwh749@rewardsportal.org,robertwh749,Gold
M3151,darinbyr707@rewardsportal.org,darinbyr707,Bronze
M2517,sarathom529@rewardsportal.org,sarathom529,Bronze
M3180,jodymart377@rewardsportal.org,jodymart377,Bronze
M2722,amandaar768@rewardsportal.org,amandaar768,Bronze
M2839,sandrasm438@rewardsportal.org,sandrasm438,Bronze
M2852,jessicac813@rewardsportal.org,jessicac813,Silver
M3083,jennifer405@rewardsportal.org,jennifer405,Silver
M3100,jamesmil99@rewardsportal.org,jamesmil99,Gold
M3193,jordansa360@rewardsportal.org,jordansa360,Platinum
M3062,heatherm610@rewardsportal.org,heatherm610,Platinum
M3115,davidnel414@rewardsportal.org,davidnel414,Bronze
M2390,andrewde474@rewardsportal.org,andrewde474,Bronze
M2645,nathanie222@rewardsportal.org,nathanie222,Silver
M3011,michaels727@rewardsportal.org,michaels727,Bronze
M3002,jamesrob253@rewardsportal.org,jamesrob253,Silver
M3050,kristijo67@rewardsportal.org,kristijo67,Silver
M3030,codylaws934@rewardsportal.org,codylaws934,Bronze
M2516,sabrinaf986@rewardsportal.org,sabrinaf986,Silver
M2382,carolynb85@rewardsportal.org,carolynb85,Bronze
M2063,donaldsc145@rewardsportal.org,donaldsc145,Platinum
M2422,davidfra66@rewardsportal.org,davidfra66,Bronze
M2735,ericlong317@rewardsportal.org,ericlong317,Bronze
M2322,ericbrow213@rewardsportal.org,ericbrow213,Gold
M2006,jessicas743@rewardsportal.org,jessicas743,Silver
M2256,omarpric137@rewardsportal.org,omarpric137,Silver
M2618,lisarive740@rewardsportal.org,lisarive740,Gold
M2170,kevindra435@rewardsportal.org,kevindra435,Bronze
M2908,amandaso601@rewardsportal.org,amandaso601,Bronze
M2861,rachelsm452@rewardsportal.org,rachelsm452,Bronze
M2596,teresafo585@rewardsportal.org,teresafo585,Bronze
M2639,russelln499@rewardsportal.org,russelln499,Bronze
M2313,lindseyk553@rewardsportal.org,lindseyk553,Silver
M2262,jessical793@rewardsportal.org,jessical793,Gold
M2250,jillianm956@rewardsportal.org,jillianm956,Gold
M2725,charless249@rewardsportal.org,charless249,Silver
M2830,marvingo616@rewardsportal.org,marvingo616,Bronze
M2924,kennethr319@rewardsportal.org,kennethr319,Gold
M2805,kylerich738@rewardsportal.org,kylerich738,Bronze
M2120,jamesjac264@rewardsportal.org,jamesjac264,Bronze
M3161,teresaha239@rewardsportal.org,teresaha239,Silver
M2107,joshuahi574@rewardsportal.org,joshuahi574,Bronze
M3069,ronaldca720@rewardsportal.org,ronaldca720,Gold
M2977,lawrence288@rewardsportal.org,lawrence288,Bronze
M2329,anitaser631@rewardsportal.org,anitaser631,Bronze
M2848,melissas705@rewardsportal.org,melissas705,Silver
M2691,paulchri785@rewardsportal.org,paulchri785,Gold
M2680,cristian498@rewardsportal.org,cristian498,Platinum
M2470,morgango327@rewardsportal.org,morgango327,Bronze
M2404,amandaga875@rewardsportal.org,amandaga875,Platinum
M2260,amandapi103@rewardsportal.org,amandapi103,Platinum
M2583,drmorgan649@rewardsportal.org,drmorgan649,Platinum
M2909,madeline394@rewardsportal.org,madeline394,Bronze
M2619,erinlewi477@rewardsportal.org,erinlewi477,Silver
M2458,ericasim361@rewardsportal.org,ericasim361,Bronze
M2160,johncamp922@rewardsportal.org,johncamp922,Silver
M2343,christop876@rewardsportal.org,christop876,Bronze
M2810,cheyenne427@rewardsportal.org,cheyenne427,Bronze
M2915,maryrich824@rewardsportal.org,maryrich824,Bronze
M2514,alishama594@rewardsportal.org,alishama594,Bronze
M3130,matthewm911@rewardsportal.org,matthewm911,Gold
M2014,kevinsha859@rewardsportal.org,kevinsha859,Silver
M2043,allisonp901@rewardsportal.org,allisonp901,Bronze
M2561,colleenc693@rewardsportal.org,colleenc693,Silver
M2595,jameskel418@rewardsportal.org,jameskel418,Gold
M2662,timothym338@rewardsportal.org,timothym338,Silver
M2779,michelle241@rewardsportal.org,michelle241,Silver
M3162,toddli739@rewardsportal.org,toddli739,Silver
M2790,ericpete26@rewardsportal.org,ericpete26,Silver
M3075,jamessal335@rewardsportal.org,jamessal335,Bronze
M2817,kellydec181@rewardsportal.org,kellydec181,Bronze
M3102,melindap221@rewardsportal.org,melindap221,Silver
M3024,taylorrh265@rewardsportal.org,taylorrh265,Silver
M2781,patrickv425@rewardsportal.org,patrickv425,Bronze
M2445,samantha668@rewardsportal.org,samantha668,Platinum
M2943,nancyhal153@rewardsportal.org,nancyhal153,Silver
M2770,davidkan685@rewardsportal.org,davidkan685,Bronze
M2197,tamarapo213@rewardsportal.org,tamarapo213,Silver
M2039,karensho778@rewardsportal.org,karensho778,Gold
M2417,danielga444@rewardsportal.org,danielga444,Silver
M2880,stephani64@rewardsportal.org,stephani64,Platinum
M2180,melissam37@rewardsportal.org,melissam37,Silver
M2663,ashleymu101@rewardsportal.org,ashleymu101,Silver
M2200,andrewcr825@rewardsportal.org,andrewcr825,Gold
M2234,mattheww358@rewardsportal.org,mattheww358,Platinum
M2582,fredmose974@rewardsportal.org,fredmose974,Bronze
M2387,charlesh127@rewardsportal.org,charlesh127,Silver
M3117,michaelg645@rewardsportal.org,michaelg645,Bronze
M2542,kathysha53@rewardsportal.org,kathysha53,Gold
M2231,garywils576@rewardsportal.org,garywils576,Silver
M2331,tammytho795@rewardsportal.org,tammytho795,Silver
M2173,tiffanym975@rewardsportal.org,tiffanym975,Bronze
M2195,madeline602@rewardsportal.org,madeline602,Platinum
M2731,justince58@rewardsportal.org,justince58,Platinum
M2759,danphill976@rewardsportal.org,danphill976,Bronze
M2986,lauracol768@rewardsportal.org,lauracol768,Bronze
M2013,johnhanc137@rewardsportal.org,johnhanc137,Bronze
M3037,robertsh641@rewardsportal.org,robertsh641,Silver
M2172,jacqueli887@rewardsportal.org,jacqueli887,Bronze
M2681,jeffreyj277@rewardsportal.org,jeffreyj277,Bronze
M2448,chelsear825@rewardsportal.org,chelsear825,Silver
M2709,mrsamand469@rewardsportal.org,mrsamand469,Bronze
M2347,jakemitc972@rewardsportal.org,jakemitc972,Bronze
M2408,stacyhar729@rewardsportal.org,stacyhar729,Platinum
M3139,daltonfa147@rewardsportal.org,daltonfa147,Platinum
M3153,jamescol610@rewardsportal.org,jamescol610,Bronze
M2822,garyhopk399@rewardsportal.org,garyhopk399,Bronze
M2363,christin135@rewardsportal.org,christin135,Bronze
M2661,moniqued498@rewardsportal.org,moniqued498,Bronze
M3052,briantur190@rewardsportal.org,briantur190,Silver
M3091,breannar570@rewardsportal.org,breannar570,Bronze
M1042,johndoe.loyalty@club.com,johndoe,Platinum
M2529,patricia537@rewardsportal.org,patricia537,Platinum
M2134,michaelh764@rewardsportal.org,michaelh764,Bronze
M3143,seansand538@rewardsportal.org,seansand538,Gold
M3010,carloslo881@rewardsportal.org,carloslo881,Platinum
M2384,caseymor609@rewardsportal.org,caseymor609,Silver
M2075,robertpe502@rewardsportal.org,robertpe502,Gold
M2746,erinorte995@rewardsportal.org,erinorte995,Bronze
M2991,jacksons80@rewardsportal.org,jacksons80,Gold
M2883,anthonyb513@rewardsportal.org,anthonyb513,Silver
M2510,lesliesm478@rewardsportal.org,lesliesm478,Bronze
M2816,tamaragr318@rewardsportal.org,tamaragr318,Silver
M3023,timothyc885@rewardsportal.org,timothyc885,Silver
M2389,allisonm472@rewardsportal.org,allisonm472,Bronze
M2118,donaldha956@rewardsportal.org,donaldha956,Gold
M2904,tiffanyd995@rewardsportal.org,tiffanyd995,Platinum
M2374,sandrahe63@rewardsportal.org,sandrahe63,Silver
M2513,rhondamu449@rewardsportal.org,rhondamu449,Silver
M2685,travisjo486@rewardsportal.org,travisjo486,Bronze
M2755,jeremybu159@rewardsportal.org,jeremybu159,Bronze
M2964,michealw837@rewardsportal.org,michealw837,Silver
M2549,patrickh670@rewardsportal.org,patrickh670,Bronze
M2893,georgezh779@rewardsportal.org,georgezh779,Bronze
M2011,cindyand109@rewardsportal.org,cindyand109,Gold
M2836,alicerob167@rewardsportal.org,alicerob167,Bronze
M2098,tracylew846@rewardsportal.org,tracylew846,Bronze
M2824,amandacr317@rewardsportal.org,amandacr317,Silver
M2330,brianher645@rewardsportal.org,brianher645,Silver
M2467,ericarch93@rewardsportal.org,ericarch93,Silver
M2527,sarahjoh47@rewardsportal.org,sarahjoh47,Bronze
M2967,andreaco457@rewardsportal.org,andreaco457,Platinum
M3039,matthewl296@rewardsportal.org,matthewl296,Bronze
M2378,jasonran54@rewardsportal.org,jasonran54,Gold
M2440,tracybla844@rewardsportal.org,tracybla844,Bronze
M2998,jennifer34@rewardsportal.org,jennifer34,Silver
M2393,jeffreys78@rewardsportal.org,jeffreys78,Gold
M2938,lindacra156@rewardsportal.org,lindacra156,Silver
M2640,keithcha480@rewardsportal.org,keithcha480,Bronze
M3168,paulaone315@rewardsportal.org,paulaone315,Bronze
M3123,melissan99@rewardsportal.org,melissan99,Silver
M2531,wendydav205@rewardsportal.org,wendydav205,Bronze
M3125,johnjaco815@rewardsportal.org,johnjaco815,Silver
M2896,nicolejo804@rewardsportal.org,nicolejo804,Bronze
M2143,katherin450@rewardsportal.org,katherin450,Silver
M2488,christin386@rewardsportal.org,christin386,Platinum
M3020,robinlop161@rewardsportal.org,robinlop161,Silver
M2102,deborahr713@rewardsportal.org,deborahr713,Gold
M2960,kellypri739@rewardsportal.org,kellypri739,Gold
M2385,jonathan621@rewardsportal.org,jonathan621,Bronze
M2813,jameskni407@rewardsportal.org,jameskni407,Silver
M2007,ashleydy235@rewardsportal.org,ashleydy235,Silver
M2643,timothyy990@rewardsportal.org,timothyy990,Bronze
M3076,jamester116@rewardsportal.org,jamester116,Bronze
M2774,shannonw450@rewardsportal.org,shannonw450,Bronze
M2369,lauravar817@rewardsportal.org,lauravar817,Bronze
M3182,cynthiaj310@rewardsportal.org,cynthiaj310,Silver
M2466,larryjon997@rewardsportal.org,larryjon997,Gold
M2975,erinleac809@rewardsportal.org,erinleac809,Silver
M2854,cynthiaw473@rewardsportal.org,cynthiaw473,Bronze
M2048,kimberly909@rewardsportal.org,kimberly909,Bronze
M2847,douglasc466@rewardsportal.org,douglasc466,Bronze
M2176,stephenm234@rewardsportal.org,stephenm234,Bronze
M3198,michaelb182@rewardsportal.org,michaelb182,Gold
M2838,lauraols606@rewardsportal.org,lauraols606,Silver
M2183,johnlync398@rewardsportal.org,johnlync398,Bronze
M3015,matthewb133@rewardsportal.org,matthewb133,Bronze
M3173,richardg839@rewardsportal.org,richardg839,Bronze
M2132,carolynj270@rewardsportal.org,carolynj270,Silver
M3088,jennifer876@rewardsportal.org,jennifer876,Bronze
M2191,andrewer980@rewardsportal.org,andrewer980,Silver
M2257,markwill422@rewardsportal.org,markwill422,Silver
M2801,lisaarms973@rewardsportal.org,lisaarms973,Bronze
M2065,kristiew836@rewardsportal.org,kristiew836,Bronze
M2096,benjamin458@rewardsportal.org,benjamin458,Silver
M2738,elizabet271@rewardsportal.org,elizabet271,Bronze
M2942,monicame890@rewardsportal.org,monicame890,Bronze
M2299,coreyhil349@rewardsportal.org,coreyhil349,Gold
M3084,ryanston915@rewardsportal.org,ryanston915,Silver
M2437,allengon88@rewardsportal.org,allengon88,Silver
M2957,stevendu84@rewardsportal.org,stevendu84,Silver
M3068,jamesrog334@rewardsportal.org,jamesrog334,Silver
M2592,mrsjenni435@rewardsportal.org,mrsjenni435,Silver
M3006,evelynpi775@rewardsportal.org,evelynpi775,Silver
M2101,katiehic629@rewardsportal.org,katiehic629,Silver
M2769,jacobbre663@rewardsportal.org,jacobbre663,Platinum
M2475,nicolewr983@rewardsportal.org,nicolewr983,Bronze
M2298,andrewhu997@rewardsportal.org,andrewhu997,Bronze
M2064,nicholas600@rewardsportal.org,nicholas600,Bronze
M2003,reneebla768@rewardsportal.org,reneebla768,Bronze
M2647,nicoleme748@rewardsportal.org,nicoleme748,Bronze
M2076,lisacox178@rewardsportal.org,lisacox178,Bronze
M2936,garylawr150@rewardsportal.org,garylawr150,Gold
M3057,joshuael512@rewardsportal.org,joshuael512,Bronze
M2600,sandrabe843@rewardsportal.org,sandrabe843,Platinum
M2969,kelseyfr128@rewardsportal.org,kelseyfr128,Silver
M2724,daltoncl67@rewardsportal.org,daltoncl67,Silver
M2671,coltonri546@rewardsportal.org,coltonri546,Gold
M2413,jaclyncr171@rewardsportal.org,jaclyncr171,Bronze
M2823,jasonsim845@rewardsportal.org,jasonsim845,Platinum
M2777,jessewil824@rewardsportal.org,jessewil824,Bronze
M2418,kimberly289@rewardsportal.org,kimberly289,Gold
M2156,pamelasa190@rewardsportal.org,pamelasa190,Silver
M2062,amandalo295@rewardsportal.org,amandalo295,Silver
M2067,sergiokn488@rewardsportal.org,sergiokn488,Bronze
M2225,ianfrazi983@rewardsportal.org,ianfrazi983,Bronze
M2471,carolynb346@rewardsportal.org,carolynb346,Silver
M3018,kendrasu712@rewardsportal.org,kendrasu712,Gold
M2210,matthewo259@rewardsportal.org,matthewo259,Silver
M2230,haleyspa139@rewardsportal.org,haleyspa139,Bronze
M2792,robinrig316@rewardsportal.org,robinrig316,Silver
M2750,raymondr674@rewardsportal.org,raymondr674,Bronze
M2171,kylesmit408@rewardsportal.org,kylesmit408,Platinum
M2282,alexande520@rewardsportal.org,alexande520,Bronze
M3097,dylanval298@rewardsportal.org,dylanval298,Bronze
M2928,christop726@rewardsportal.org,christop726,Bronze
M2297,susanwal821@rewardsportal.org,susanwal821,Platinum
M2623,tomwatki858@rewardsportal.org,tomwatki858,Silver
M2246,bryanhol575@rewardsportal.org,bryanhol575,Bronze
M2744,gordonha500@rewardsportal.org,gordonha500,Gold
M2753,sarahram946@rewardsportal.org,sarahram946,Bronze
M3040,colinmck668@rewardsportal.org,colinmck668,Bronze
M3163,conniesm926@rewardsportal.org,conniesm926,Gold
M2248,robertro43@rewardsportal.org,robertro43,Bronze
M2575,jennifer861@rewardsportal.org,jennifer861,Silver
M3033,lisakais851@rewardsportal.org,lisakais851,Bronze
M2019,christin176@rewardsportal.org,christin176,Bronze
M2025,curtisjo67@rewardsportal.org,curtisjo67,Gold
M2368,elijahmo842@rewardsportal.org,elijahmo842,Bronze
M2223,christop323@rewardsportal.org,christop323,Bronze
M2718,robinwal838@rewardsportal.org,robinwal838,Bronze
M3067,dustinjo820@rewardsportal.org,dustinjo820,Platinum
M2604,rebeccap527@rewardsportal.org,rebeccap527,Platinum
M2030,leslieal772@rewardsportal.org,leslieal772,Silver
M2004,markdiaz42@rewardsportal.org,markdiaz42,Bronze
M2495,scottmez174@rewardsportal.org,scottmez174,Bronze
M3128,oliviaca997@rewardsportal.org,oliviaca997,Platinum
M2281,ryanthom482@rewardsportal.org,ryanthom482,Silver
M2162,cynthiav466@rewardsportal.org,cynthiav466,Silver
M2027,natashaw945@rewardsportal.org,natashaw945,Gold
M2029,tiffanyb479@rewardsportal.org,tiffanyb479,Bronze
M3027,christop420@rewardsportal.org,christop420,Silver
M2800,thomasda471@rewardsportal.org,thomasda471,Bronze
M2627,mikewell903@rewardsportal.org,mikewell903,Silver
M2706,luissing966@rewardsportal.org,luissing966,Bronze
M2506,lawrence865@rewardsportal.org,lawrence865,Silver
M2605,bethjohn607@rewardsportal.org,bethjohn607,Bronze
M2240,kellymcl620@rewardsportal.org,kellymcl620,Bronze
M2265,martinpr456@rewardsportal.org,martinpr456,Gold
M2038,michaelm706@rewardsportal.org,michaelm706,Bronze
M2237,sarahhop712@rewardsportal.org,sarahhop712,Bronze
M2066,hollyfar684@rewardsportal.org,hollyfar684,Bronze
M2825,kristenc215@rewardsportal.org,kristenc215,Bronze
M2357,michelle916@rewardsportal.org,michelle916,Silver
M2337,julietay907@rewardsportal.org,julietay907,Silver
M2021,ashleywa83@rewardsportal.org,ashleywa83,Silver
M2705,richardn75@rewardsportal.org,richardn75,Platinum
M2137,erinhoga931@rewardsportal.org,erinhoga931,Silver
M2728,luiskim236@rewardsportal.org,luiskim236,Bronze
M2519,marycant269@rewardsportal.org,marycant269,Bronze
M2480,laurasmi907@rewardsportal.org,laurasmi907,Bronze
M2208,ambermar758@rewardsportal.org,ambermar758,Bronze
M2568,monicasm77@rewardsportal.org,monicasm77,Bronze
M2737,katelynb580@rewardsportal.org,katelynb580,Bronze
M2820,robertfo210@rewardsportal.org,robertfo210,Bronze
M2773,williams27@rewardsportal.org,williams27,Gold
M3158,johnmart221@rewardsportal.org,johnmart221,Silver
M2954,michaelw145@rewardsportal.org,michaelw145,Gold
M2950,williamw671@rewardsportal.org,williamw671,Gold
M2778,johnsali480@rewardsportal.org,johnsali480,Bronze
M2916,matthewm854@rewardsportal.org,matthewm854,Silver
M2169,francisr434@rewardsportal.org,francisr434,Bronze
M3038,todddunc431@rewardsportal.org,todddunc431,Silver
M2982,aliciana243@rewardsportal.org,aliciana243,Silver
M2266,rebeccab491@rewardsportal.org,rebeccab491,Bronze
M2655,frederic768@rewardsportal.org,frederic768,Bronze
M2732,haleytra400@rewardsportal.org,haleytra400,Bronze
M2139,ericpatr577@rewardsportal.org,ericpatr577,Bronze
M3133,jamiemcl157@rewardsportal.org,jamiemcl157,Silver
M2762,teresayo824@rewardsportal.org,teresayo824,Bronze
M2272,michaelh895@rewardsportal.org,michaelh895,Gold
M2212,stephani196@rewardsportal.org,stephani196,Bronze
M2104,gloriago104@rewardsportal.org,gloriago104,Bronze
M2840,harryber728@rewardsportal.org,harryber728,Silver
M2436,drrobert357@rewardsportal.org,drrobert357,Bronze
M3172,joannaly256@rewardsportal.org,joannaly256,Gold
M2084,michaelm92@rewardsportal.org,michaelm92,Bronze
M3071,josephsa324@rewardsportal.org,josephsa324,Silver
M2290,amberbut685@rewardsportal.org,amberbut685,Gold
M2189,jamesbai869@rewardsportal.org,jamesbai869,Silver
M2217,edwardcl717@rewardsportal.org,edwardcl717,Silver
M2051,nicoleha555@rewardsportal.org,nicoleha555,Bronze
M2409,caitlinj16@rewardsportal.org,caitlinj16,Gold
M2579,dylancon211@rewardsportal.org,dylancon211,Platinum
M2128,emilyali128@rewardsportal.org,emilyali128,Bronze
M2110,timothys388@rewardsportal.org,timothys388,Silver
M2688,marywats386@rewardsportal.org,marywats386,Bronze
M2138,alexande428@rewardsportal.org,alexande428,Bronze
M3032,drbrenda61@rewardsportal.org,drbrenda61,Platinum
M2560,angelasi465@rewardsportal.org,angelasi465,Gold
M2381,staceywa712@rewardsportal.org,staceywa712,Silver
M2423,theresar795@rewardsportal.org,theresar795,Gold
M2165,debbieew291@rewardsportal.org,debbieew291,Bronze
M2060,crystals656@rewardsportal.org,crystals656,Bronze
M2502,phillipm159@rewardsportal.org,phillipm159,Bronze
M2103,jasongut510@rewardsportal.org,jasongut510,Platinum
M2009,johnpier724@rewardsportal.org,johnpier724,Bronze
M2557,anthonys466@rewardsportal.org,anthonys466,Platinum
M2032,davidwoo380@rewardsportal.org,davidwoo380,Platinum
M2684,brianfer719@rewardsportal.org,brianfer719,Bronze
M3080,audreyhu917@rewardsportal.org,audreyhu917,Bronze
M2388,brandono574@rewardsportal.org,brandono574,Gold
M2678,anthonyc447@rewardsportal.org,anthonyc447,Bronze
M2556,alanharr130@rewardsportal.org,alanharr130,Gold
M2089,davidbre695@rewardsportal.org,davidbre695,Bronze
M2613,shelbyro296@rewardsportal.org,shelbyro296,Silver
M2563,matthewd738@rewardsportal.org,matthewd738,Platinum
M2204,mckenzie660@rewardsportal.org,mckenzie660,Silver
M3175,saramose519@rewardsportal.org,saramose519,Bronze
M2649,anthonyc848@rewardsportal.org,anthonyc848,Platinum
M3056,emilyroa866@rewardsportal.org,emilyroa866,Silver
M2091,chadjone478@rewardsportal.org,chadjone478,Platinum
